Time consuming,Valve opening,Pressure
322.31,9,4.1
323.32,9,4.1
324.32,9,4.1
325.33,9,4.1
326.34,9,4.1
327.35,9,4.1
328.36,9,4.1
329.36,9,4.1
330.37,9,4.0
331.38,9,4.0
332.40,9,4.0
333.41,9,4.0
334.43,9,4.0
335.44,9,4.0
336.45,9,4.0
337.47,9,4.0
338.48,9,4.0
339.49,9,4.0
340.51,9,4.0
341.52,9,4.0
342.53,9,4.0
343.54,9,4.0
344.55,9,4.0
345.55,8,4.0
346.56,8,3.9
347.57,8,3.9
348.57,8,3.9
349.58,8,4.0
350.58,8,4.0
351.59,8,4.0
352.60,8,4.0
353.62,8,4.0
354.63,8,4.1
355.65,8,4.1
356.66,8,4.1
357.68,8,4.1
358.69,8,4.1
359.70,8,4.1
360.71,8,4.0
361.72,8,4.0
362.73,8,4.0
363.73,8,4.0
364.74,8,4.0
365.75,8,4.0
366.76,8,4.0
367.78,8,4.0
368.79,8,4.0
369.81,8,4.0
370.82,8,4.0
371.84,8,4.0
372.85,8,4.1
373.87,8,4.1
374.88,8,4.1
375.90,8,4.1
376.91,8,4.1
377.93,8,4.1
378.94,8,4.1
379.96,8,4.2
380.97,8,4.2
381.98,8,4.2
383.00,8,4.2
384.01,8,4.2
385.03,8,4.2
386.04,8,4.2
387.06,8,4.2
388.07,8,4.2
389.09,8,4.2
390.10,8,4.2
391.12,8,4.2
392.13,8,4.2
393.14,8,4.3
394.15,8,4.3
395.16,8,4.3
396.17,8,4.3
397.17,8,4.2
398.18,8,4.2
399.18,8,4.3
400.19,8,4.3
401.20,8,4.3
402.20,8,4.3
403.21,8,4.3
404.22,8,4.3
405.23,8,4.3
406.24,8,4.3
407.25,8,4.3
408.25,8,4.3
409.26,8,4.3
410.27,8,4.3
411.28,8,4.2
412.29,8,4.3
413.30,8,4.3
414.30,8,4.3
415.31,8,4.3
